epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4700.6,0.74403,0.74364,1.13614,0.93388,0.90421,0.95479,0.78432,0.72196,0.47622,1.21038,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,4836.09,0.73268,0.7327,1.12567,0.9225,0.89645,0.94452,0.77722,0.71646,0.48459,1.20377,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,4972.05,0.73525,0.73221,1.13036,0.92063,0.91431,0.95375,0.78174,0.71389,0.48304,1.20709,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,5107.87,0.71911,0.71208,1.11976,0.9313,0.90675,0.95415,0.78058,0.72044,0.47704,1.20924,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,5243.59,0.72087,0.70451,1.12089,0.9463,0.88607,0.9523,0.78251,0.71304,0.47077,1.20299,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,5379.78,0.70753,0.68673,1.11172,0.94254,0.89932,0.95489,0.78145,0.71216,0.47245,1.20209,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,5515.93,0.70555,0.6783,1.10872,0.93137,0.8962,0.95031,0.77853,0.71718,0.47298,1.20908,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,5651.87,0.6914,0.66706,1.09887,0.93789,0.89764,0.95299,0.78078,0.72009,0.47495,1.21595,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,5787.71,0.68977,0.6661,1.10204,0.92027,0.90682,0.95676,0.78133,0.71407,0.46353,1.20905,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,5968.32,0.55617,0.33463,1.06191,0.93541,0.89412,0.95113,0.77939,0.71189,0.46932,1.21354,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,6104.46,0.53392,0.31741,1.04574,0.92796,0.89385,0.94611,0.77721,0.71495,0.46859,1.22241,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
